epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6
0.16429347,0.2694418,0.19544037,0.091322005,0.15337841,0.11419708
0.10316208,0.2561465,0.12565126,0.12091304,0.12472897,0.22042888
0.1349904,0.13532707,0.18300073,0.1991405,0.16440183,0.27663416
0.08549231,0.28910467,0.1398093,0.110221036,0.187686,0.13568093
0.15361679,0.0892913,0.4523235,0.3521582,0.1348874,0.2690171
0.08252308,0.17092632,0.14561842,0.23229925,0.171288,0.18468279
0.10269534,0.109437495,0.14426881,0.16136773,0.28561652,0.15797931
0.078221925,0.20197266,0.1911965,0.22627006,0.1277229,0.32248646
0.0918598,0.12128765,0.11797794,0.128501,0.1674478,0.18855359
0.14397563,0.13661742,0.10918997,0.15542187,0.14891884,0.22859032
0.10481331,0.1439368,0.11598267,0.54484683,0.10081583,0.17155829
0.1688815,0.11965842,0.21189837,0.13042867,0.25881255,0.16122383
0.12324051,0.12210471,0.23690993,0.12128711,0.14726967,0.18245588
0.08479487,0.10772176,0.18530363,0.12529628,0.13171372,0.092727385
0.08642379,0.09021179,0.17589095,0.17006528,0.1468009,0.112941384
0.14292485,0.12713605,0.20806774,0.23604499,0.1433832,0.10968735
0.19306765,0.1992407,0.19414535,0.52379096,0.26323146,0.27483848
0.11279551,0.16393349,0.39882022,0.26772884,0.12640364,0.14723532
0.11513225,0.17415738,0.42625403,0.40047538,0.13165022,0.1497825
0.19864564,0.15088975,0.18226603,0.21397167,0.15461121,0.20319852
0.17763835,0.22900993,0.23912019,0.19467853,0.22739577,0.23316556
0.19113603,0.26550537,0.27008387,0.21529484,0.2407741,0.1755483
